metric,language,year,month,repo_count,total_stars
month_wise_trend,PHP,2024,3,1,14847
month_wise_trend,Rust,2023,11,1,25576
month_wise_trend,Cuda,2024,4,1,29551
month_wise_trend,Shell,2024,11,1,27592
month_wise_trend,Go,2022,7,4,121027
month_wise_trend,C,2022,3,3,45755
month_wise_trend,Python,2022,10,6,207553
month_wise_trend,Jupyter Notebook,2024,1,2,16827
month_wise_trend,Jupyter Notebook,2024,10,1,33491
month_wise_trend,Dart,2024,8,1,12779
month_wise_trend,Go,2023,1,1,14837
month_wise_trend,Rust,2024,5,1,9262
month_wise_trend,PHP,2024,1,1,8407
month_wise_trend,Rust,2022,5,1,9937
month_wise_trend,Shell,2023,9,1,18862
month_wise_trend,MATLAB,2022,8,1,15293
month_wise_trend,TypeScript,2022,9,2,31148
month_wise_trend,PowerShell,2023,2,1,18398
month_wise_trend,Swift,2023,8,1,27258
month_wise_trend,JavaScript,2022,5,1,8698
month_wise_trend,TypeScript,2024,3,6,91814
month_wise_trend,Ruby,2023,1,2,26015
month_wise_trend,Jupyter Notebook,2024,7,2,45681
month_wise_trend,CSS,2022,6,1,30804
month_wise_trend,Dart,2023,5,1,28589
month_wise_trend,Go,2022,1,1,17089
month_wise_trend,Java,2023,11,1,23293
month_wise_trend,Vue,2023,6,1,12693
month_wise_trend,Python,2024,6,8,124968
month_wise_trend,Dart,2022,8,1,16422
month_wise_trend,TypeScript,2024,6,6,84544
month_wise_trend,Rust,2022,9,1,14888
month_wise_trend,Python,2024,12,9,239124
month_wise_trend,Jupyter Notebook,2024,9,2,45821
month_wise_trend,JavaScript,2024,6,1,9175
month_wise_trend,Python,2024,11,8,239583
month_wise_trend,Vue,2024,12,1,8795
month_wise_trend,TypeScript,2023,5,5,176060
month_wise_trend,Python,2022,6,3,40609
month_wise_trend,QML,2022,12,1,13886
month_wise_trend,Jupyter Notebook,2023,10,2,24980
month_wise_trend,Shell,2024,6,1,19462
month_wise_trend,TypeScript,2022,10,2,30155
month_wise_trend,Python,2022,3,3,68782
month_wise_trend,C++,2024,5,1,62343
month_wise_trend,TypeScript,2024,12,3,66152
month_wise_trend,Python,2023,3,24,788227
month_wise_trend,Rust,2023,8,3,59995
month_wise_trend,Go,2023,4,1,21025
month_wise_trend,TypeScript,2023,12,1,14055
month_wise_trend,Kotlin,2022,4,4,68972
month_wise_trend,Kotlin,2022,8,1,9382
month_wise_trend,JavaScript,2022,7,1,9075
month_wise_trend,HTML,2023,8,1,35830
month_wise_trend,Go,2023,9,1,16505
month_wise_trend,MDX,2024,5,1,36770
month_wise_trend,Java,2022,4,1,16751
month_wise_trend,Lua,2022,7,1,10192
month_wise_trend,Go,2022,11,1,8689
month_wise_trend,Go,2024,11,1,8582
month_wise_trend,Dart,2022,12,1,78161
month_wise_trend,Shell,2022,10,1,11097
month_wise_trend,Python,2023,2,11,426235
month_wise_trend,Rust,2024,8,1,41810
month_wise_trend,Jupyter Notebook,2022,1,1,14835
month_wise_trend,Cuda,2022,12,1,10259
month_wise_trend,Kotlin,2023,7,1,37770
month_wise_trend,TypeScript,2022,7,3,66236
month_wise_trend,C,2024,12,1,12732
month_wise_trend,Rust,2023,3,2,45730
month_wise_trend,Go,2022,2,1,9528
month_wise_trend,Ruby,2023,7,1,11716
month_wise_trend,Go,2022,9,3,47154
month_wise_trend,Text,2022,4,1,21694
month_wise_trend,TypeScript,2024,11,4,149496
month_wise_trend,Shell,2022,6,1,10451
month_wise_trend,PowerShell,2022,4,1,51780
month_wise_trend,Lua,2022,12,1,25852
month_wise_trend,Rust,2023,7,3,81939
month_wise_trend,Rust,2022,10,3,117614
month_wise_trend,Vue,2022,3,1,8723
month_wise_trend,Vue,2022,4,1,7996
month_wise_trend,C++,2022,10,2,39829
month_wise_trend,Elixir,2022,6,1,10066
month_wise_trend,Rust,2024,3,1,11252
month_wise_trend,Swift,2024,4,1,8161
month_wise_trend,Python,2022,11,7,218225
month_wise_trend,Shell,2023,7,1,14781
month_wise_trend,TypeScript,2023,6,3,75468
month_wise_trend,Jupyter Notebook,2024,3,2,25463
month_wise_trend,Kotlin,2023,3,1,20000
month_wise_trend,Jupyter Notebook,2024,8,2,32166
month_wise_trend,Go,2023,3,1,45362
month_wise_trend,Rust,2023,1,3,65369
month_wise_trend,Jupyter Notebook,2024,11,1,56606
month_wise_trend,Kotlin,2024,9,1,26468
month_wise_trend,Go,2022,3,4,49486
month_wise_trend,Cuda,2022,1,2,28585
month_wise_trend,Go,2023,2,1,68629
